model,system,input,output,batch,prefill_latency(ms),decode_latency(ms),decode_throughput(tok/s),e2e_latency(ms),e2e_throughput(tok/s),TPOT(ms/token),total_energy(J),energy_per_token(mJ),tokens_per_J
MISTRAL-7B,H100,128,64,16,50.226,614.84,1665.47394444083,682.8,4499.121265377857,0.6004296875,382.368,373.40625,2.678048372248724
MISTRAL-7B,H100,128,128,16,38.8,1169.8,1750.7266199350317,1260.7,3248.9886570952644,0.57119140625,705.992,344.72265625,2.9008827295493433
MISTRAL-7B,H100,128,256,16,49.909,2281.4,1795.3887963531165,2346.0,2618.925831202046,0.556982421875,1313.76,320.7421875,3.1177688466691023
MISTRAL-7B,H100,128,512,16,48.992,4540.3,1804.286060392485,4597.6,2227.2489994779885,0.55423583984375,2574.656,314.2890625,3.181784284968555
MISTRAL-7B,H100,128,1024,16,62.051,9238.2,1773.505661276006,9365.3,1968.1163443776495,0.56385498046875,5244.568,320.10302734375,3.12399419742484
MISTRAL-7B,H100,128,2048,16,49.896,19234.0,1703.6497868358115,19330.0,1801.1381272633212,0.58697509765625,10824.8,330.3466796875,3.0271229029635656
MISTRAL-7B,H100,256,32,16,62.476,385.32,1328.7657012353368,452.77,10177.352739801665,0.752578125,253.5512,495.21718749999997,2.0193160198019178
MISTRAL-7B,H100,256,64,16,62.492,663.71,1542.8425065164001,733.56,6979.6608321064405,0.648154296875,410.79359999999997,401.165625,2.4927360114665857
MISTRAL-7B,H100,256,128,16,48.97,1240.3,1651.213416109006,1359.5,4519.308569326959,0.605615234375,761.32,371.73828125,2.69006462459938
MISTRAL-7B,H100,256,256,16,40.327,2381.1,1720.2133467725002,2514.2,3258.2928963487393,0.5813232421875,1407.952,343.73828125,2.90919008602566
MISTRAL-7B,H100,256,512,16,63.746,4620.6,1772.9299225208847,4735.5,2594.8685460880583,0.5640380859375,2651.88,323.7158203125,3.0891292215334025
MISTRAL-7B,H100,256,1024,16,62.043,9381.3,1746.453050216921,9455.8,2165.8664523361326,0.572589111328125,5295.248,323.1962890625,3.0940949319087605
MISTRAL-7B,H100,256,2048,16,48.762,19575.0,1673.9719029374203,19643.0,1876.699078552156,0.597381591796875,11000.08,335.69580078125,2.9788874262732636
MISTRAL-7B,H100,512,32,16,85.829,486.33,1052.7830896716223,577.24,15078.650128196245,0.94986328125,323.25440000000003,631.35625,1.583891820188681
MISTRAL-7B,H100,512,64,16,103.07,759.77,1347.7763007225872,872.62,10561.298159565447,0.741962890625,488.66720000000004,477.2140625,2.0954956665804456
MISTRAL-7B,H100,512,128,16,62.044,1373.1,1491.5155487582842,1447.1,7076.2214083339095,0.670458984375,810.376,395.69140625,2.5272219315478246
MISTRAL-7B,H100,512,256,16,62.308,2522.8,1623.592833359759,2591.7,4741.289501099664,0.61591796875,1451.352,354.333984375,2.822196131606943
MISTRAL-7B,H100,512,512,16,118.87,4790.2,1710.1582397394682,4947.8,3311.370710214641,0.5847412109375,2770.768,338.228515625,2.9565809912630723
MISTRAL-7B,H100,512,1024,16,62.008,9668.7,1694.5401139760256,9820.1,2502.6221728902965,0.590130615234375,5499.256,335.64794921875,2.979312110583686
MISTRAL-7B,H100,512,2048,16,62.046,19797.0,1655.200282871142,19908.0,2057.4643359453485,0.604156494140625,11148.48,340.224609375,2.9392347656362126
MISTRAL-7B,H100,1024,32,16,51.288,789.15,648.7993410631692,896.99,18836.330393872842,1.54130859375,502.31440000000003,981.0828125,1.0192819477203918
MISTRAL-7B,H100,1024,64,16,87.117,1055.8,969.8806592157606,1148.0,15163.763066202091,1.0310546875,642.88,627.8125,1.5928322548531608
MISTRAL-7B,H100,1024,128,16,88.256,1647.0,1243.472981177899,1810.3,10181.73783350826,0.80419921875,1013.768,495.00390625,2.0201860780770353
MISTRAL-7B,H100,1024,256,16,117.94,2815.4,1454.8554379484265,2940.2,6965.512550166656,0.687353515625,1646.512,401.98046875,2.487683053630948
MISTRAL-7B,H100,1024,512,16,184.74,5086.3,1610.6010262862985,5280.0,4654.545454545455,0.62088623046875,2956.8,360.9375,2.7705627705627704
MISTRAL-7B,H100,1024,1024,16,153.25,10086.0,1624.4299028356138,10308.0,3178.8901823826154,0.6156005859375,5772.48,352.32421875,2.838294805698764
MISTRAL-7B,H100,1024,2048,16,52.569,20724.0,1581.161937849836,20867.0,2355.489528921263,0.6324462890625,11685.52,356.61376953125,2.804154201096742
MISTRAL-7B,H100,2048,32,16,286.57,1164.1,439.82475732325406,1456.0,22857.14285714286,2.2736328125,815.36,1592.5,0.6279434850863422
MISTRAL-7B,H100,2048,64,16,351.98,1405.1,728.7737527578108,1762.7,19170.59057128269,1.37216796875,987.112,963.9765625,1.0373696196581543
MISTRAL-7B,H100,2048,128,16,156.74,2246.2,911.7620870804026,2433.2,14308.729245438108,1.09677734375,1362.592,665.328125,1.5030177778821538
MISTRAL-7B,H100,2048,256,16,283.4,3361.4,1218.5398940917476,3651.7,10095.024235287674,0.820654296875,2044.952,499.255859375,2.0029809990650147
