model,system,batch,lin,lout,prefill_latency(ms),decode_latency(ms),e2e_latency(ms),comp_pct,comm_pct,queue_pct,decode_throughput(tok/s),total_energy(J)
LLAMA2-7B,H100,2,64,1024,42.123,8095.3,8148.4,0.0,0.0,0.0,252.9863006929947,4563.104
LLAMA2-7B,H100,2,64,2048,42.467,16278.0,16339.0,0.0,0.0,0.0,251.6279641233567,9149.84
LLAMA2-7B,H100,2,64,3584,42.942,3471.8,3537.4,0.0,0.0,0.0,2064.63505962325,1980.944
LLAMA2-7B,H100,2,128,32,42.437,249.03,295.71,0.0,0.0,0.0,256.997148937879,165.59759999999997
LLAMA2-7B,H100,2,128,64,42.465,510.2,558.48,0.0,0.0,0.0,250.88200705605647,312.7488
LLAMA2-7B,H100,2,128,128,42.349,1003.5,1050.7,0.0,0.0,0.0,255.107125062282,588.392
LLAMA2-7B,H100,2,128,256,42.791,2043.1,2132.4,0.0,0.0,0.0,250.59957907101955,1194.144
LLAMA2-7B,H100,2,128,512,42.211,4085.4,4135.2,0.0,0.0,0.0,250.64865129485483,2315.712
LLAMA2-7B,H100,2,128,1024,42.04,8121.6,8174.6,0.0,0.0,0.0,252.16706067769897,4577.776
LLAMA2-7B,H100,2,128,2048,33.131,16459.0,16510.0,0.0,0.0,0.0,248.86080563825263,9245.6
LLAMA2-7B,H100,2,128,3584,42.985,28381.0,28500.0,0.0,0.0,0.0,252.56333462527743,15960.0
LLAMA2-7B,H100,2,256,32,42.026,253.12,366.18,0.0,0.0,0.0,252.84450063211125,205.06080000000003
LLAMA2-7B,H100,2,256,64,33.669,522.54,650.92,0.0,0.0,0.0,244.95732384123704,364.5152
LLAMA2-7B,H100,2,256,128,41.477,1022.0,1068.4,0.0,0.0,0.0,250.48923679060664,598.304
LLAMA2-7B,H100,2,256,256,42.848,2055.5,2164.4,0.0,0.0,0.0,249.0878131841401,1212.064
LLAMA2-7B,H100,2,256,512,41.501,4105.2,4154.2,0.0,0.0,0.0,249.4397349702816,2326.352
LLAMA2-7B,H100,2,256,1024,41.89,8151.5,8233.8,0.0,0.0,0.0,251.24210268048824,4610.928
LLAMA2-7B,H100,2,256,2048,41.631,16503.0,16620.0,0.0,0.0,0.0,248.19729746106768,9307.2
LLAMA2-7B,H100,2,256,3584,41.701,28612.0,28682.0,0.0,0.0,0.0,250.5242555571089,16061.92
LLAMA2-7B,H100,2,512,32,53.846,253.36,311.44,0.0,0.0,0.0,252.6049889485317,174.4064
LLAMA2-7B,H100,2,512,64,53.904,513.2,661.73,0.0,0.0,0.0,249.41543257989085,370.5688
LLAMA2-7B,H100,2,512,128,55.337,1034.4,1166.1,0.0,0.0,0.0,247.48646558391337,653.016
LLAMA2-7B,H100,2,512,256,54.702,2025.6,2143.4,0.0,0.0,0.0,252.7646129541864,1200.304
LLAMA2-7B,H100,2,512,512,32.076,4135.0,4174.4,0.0,0.0,0.0,247.64207980652964,2337.664
LLAMA2-7B,H100,2,512,1024,54.629,8169.8,8291.1,0.0,0.0,0.0,250.6793311953781,4643.016
LLAMA2-7B,H100,2,512,2048,54.165,16148.0,16262.0,0.0,0.0,0.0,253.6537032449839,9106.72
LLAMA2-7B,H100,2,512,3584,54.295,29810.0,29893.0,0.0,0.0,0.0,240.4562227440456,16740.08
LLAMA2-7B,H100,2,1024,32,82.26,253.39,364.93,0.0,0.0,0.0,252.57508188957732,204.3608
LLAMA2-7B,H100,2,1024,64,81.869,513.73,661.06,0.0,0.0,0.0,249.1581180775894,370.1936
LLAMA2-7B,H100,2,1024,128,81.925,1019.2,1136.1,0.0,0.0,0.0,251.1773940345369,636.216
LLAMA2-7B,H100,2,1024,256,82.136,2051.2,2139.3,0.0,0.0,0.0,249.609984399376,1198.008
LLAMA2-7B,H100,2,1024,512,82.702,4074.7,4195.4,0.0,0.0,0.0,251.30684467568165,2349.424
LLAMA2-7B,H100,2,1024,1024,82.635,8206.6,8300.4,0.0,0.0,0.0,249.5552360295372,4648.224
LLAMA2-7B,H100,2,1024,2048,81.419,16782.0,16923.0,0.0,0.0,0.0,244.0710284828984,9476.88
LLAMA2-7B,H100,2,2048,32,148.99,260.67,421.66,0.0,0.0,0.0,245.52115701845244,236.1296
LLAMA2-7B,H100,2,2048,64,149.3,525.02,693.38,0.0,0.0,0.0,243.8002361814788,388.2928
LLAMA2-7B,H100,2,2048,128,152.04,1045.4,1202.7,0.0,0.0,0.0,244.8823416873924,673.512
LLAMA2-7B,H100,2,2048,256,151.73,2091.7,2291.7,0.0,0.0,0.0,244.77697566572647,1283.352
LLAMA2-7B,H100,2,2048,512,148.4,4208.9,4365.1,0.0,0.0,0.0,243.29397229679967,2444.456
LLAMA2-7B,H100,2,2048,1024,149.1,8517.0,8770.7,0.0,0.0,0.0,240.4602559586709,4911.592
LLAMA2-7B,H100,2,2048,2048,150.71,17584.0,17754.0,0.0,0.0,0.0,232.93903548680615,9942.24
LLAMA2-7B,H100,2,3584,32,258.76,272.28,585.93,0.0,0.0,0.0,235.05215219626857,328.1208
LLAMA2-7B,H100,2,3584,64,257.24,548.83,810.98,0.0,0.0,0.0,233.2234025107957,454.1488
LLAMA2-7B,H100,2,3584,128,257.66,1116.2,1442.6,0.0,0.0,0.0,229.3495789285074,807.856
LLAMA2-7B,H100,2,3584,256,261.29,2230.2,2565.2,0.0,0.0,0.0,229.5758227961618,1436.512
LLAMA2-7B,H100,2,3584,512,255.51,4487.3,4750.8,0.0,0.0,0.0,228.19958549684665,2660.448
LLAMA2-7B,H100,2,4064,32,294.36,276.65,575.81,0.0,0.0,0.0,231.339237303452,322.4536
LLAMA2-7B,H100,4,32,32,42.261,241.67,329.81,0.0,0.0,0.0,529.6478669259735,184.6936
LLAMA2-7B,H100,4,32,64,33.973,510.19,629.51,0.0,0.0,0.0,501.77384895823127,352.5256
LLAMA2-7B,H100,4,32,128,34.739,998.55,1094.3,0.0,0.0,0.0,512.7434780431626,612.808
LLAMA2-7B,H100,4,32,256,42.928,1958.8,2049.4,0.0,0.0,0.0,522.7690422707781,1147.664
LLAMA2-7B,H100,4,32,512,41.184,3941.3,3994.4,0.0,0.0,0.0,519.6255042752391,2236.864
LLAMA2-7B,H100,4,32,1024,42.345,8213.4,8290.6,0.0,0.0,0.0,498.697250834003,4642.736
LLAMA2-7B,H100,4,32,2048,42.515,16868.0,16928.0,0.0,0.0,0.0,485.6533080388902,9479.68
LLAMA2-7B,H100,4,32,3584,40.466,31540.0,31626.0,0.0,0.0,0.0,454.53392517438175,17710.56
LLAMA2-7B,H100,4,32,4064,42.303,35989.0,36063.0,0.0,0.0,0.0,451.6935730362055,20195.28
LLAMA2-7B,H100,4,64,32,40.903,242.49,287.88,0.0,0.0,0.0,527.8568188378902,161.2128
LLAMA2-7B,H100,4,64,64,41.108,483.82,540.79,0.0,0.0,0.0,529.122400892894,302.84239999999994
LLAMA2-7B,H100,4,64,128,33.65,1000.2,1130.8,0.0,0.0,0.0,511.8976204759048,633.248
LLAMA2-7B,H100,4,64,256,40.724,1988.6,2035.0,0.0,0.0,0.0,514.9351302423815,1139.6
LLAMA2-7B,H100,4,64,512,41.33,3951.8,4022.7,0.0,0.0,0.0,518.2448504478972,2252.712
LLAMA2-7B,H100,4,64,1024,40.891,8195.7,8248.1,0.0,0.0,0.0,499.7742718742755,4618.936
LLAMA2-7B,H100,4,64,2048,42.057,16797.0,16918.0,0.0,0.0,0.0,487.7061380008335,9474.08
LLAMA2-7B,H100,4,64,3584,41.025,29243.0,29313.0,0.0,0.0,0.0,490.2369797900352,16415.28
